代码	名称	日期	open	high	low	close	成交额(百万)	成交量(股)	macd	rsi_6	kdj	cci	sma10	ema10	
399300.SZ	沪深300	2014/5/22	2134.09	2160.91	2128.86	2130.87	39227.55	4625273600	-15.22070104	41.36819082	35.69441973	-26.31401536	2144.89	2140.333809	-1
399300.SZ	沪深300	2014/5/23	2130.77	2148.58	2128.66	2148.41	32420.02	3762310400	-13.68077561	54.08643133	43.33547115	-16.5112452	2146.34	2141.802207	1
399300.SZ	沪深300	2014/5/26	2161.89	2165.42	2147.45	2155.98	37788.48	3955065600	-11.71450041	58.72350587	51.49130981	50.57029852	2143.933	2144.379988	1
399300.SZ	沪深300	2014/5/27	2154.4	2160.03	2145.75	2147.28	32374.26	3589717200	-10.73448992	51.54412754	56.91005032	23.15186352	2141.176	2144.907263	-1
399300.SZ	沪深300	2014/5/28	2147.47	2171.17	2142.01	2169.35	45627.62	5005626000	-8.083775259	64.68663636	70.46079433	58.25927493	2140.874	2149.351397	1
399300.SZ	沪深300	2014/5/29	2171.26	2178.09	2154.93	2155.16	41076.91	4489155600	-7.046847534	53.49259655	70.9380698	57.94400873	2141.982	2150.407506	-1
399300.SZ	沪深300	2014/5/30	2156.38	2166.91	2146.22	2156.46	39769.2	4392386400	-6.050430114	54.36086081	71.78742939	36.42041777	2143.033	2151.50796	1
399300.SZ	沪深300	2014/6/3	2157.64	2169	2149.29	2149.92	37906.23	4198295200	-5.722519826	48.85466657	69.68144553	44.37258952	2146.511	2151.21924	-1
399300.SZ	沪深300	2014/6/4	2149.41	2149.45	2117.31	2128.27	35607.02	4181724800	-7.127461682	34.83719277	52.46504617	-64.54453099	2147.761	2147.046651	-1
399300.SZ	沪深300	2014/6/5	2126.61	2150.93	2123.52	2150.6	33050.77	3647742400	-6.365664428	51.91364438	53.23379956	-8.081308502	2149.23	2147.692714	1
399300.SZ	沪深300	2014/6/6	2149.21	2149.78	2123.98	2134.72	32415.6	3573805600	-6.963052169	42.4257401	45.03729667	-34.72382529	2149.615	2145.334039	-1
399300.SZ	沪深300	2014/6/9	2128.23	2153.9	2126.67	2134.28	35326.73	3931106000	-7.386839691	42.16948619	39.33165396	-33.30862485	2148.202	2143.324214	-1
399300.SZ	沪深300	2014/6/10	2138.67	2161.53	2132.45	2161.27	44416.14	5050790400	-5.48163801	59.96788895	50.32991036	35.81081608	2148.731	2146.587084	1
399300.SZ	沪深300	2014/6/11	2156.15	2163.61	2152.08	2160.77	37311.08	4256372000	-3.966375861	59.56038684	57.38786829	73.57366858	2150.08	2149.165796	-1
399300.SZ	沪深300	2014/6/12	2156.76	2160.99	2148.41	2153.41	37252.04	4302584400	-3.321126304	53.17735669	61.53838798	34.55312485	2148.486	2149.937469	-1
399300.SZ	沪深300	2014/6/13	2150.99	2183.65	2150.57	2176.24	51765.51	5925287600	-0.956544727	66.52927901	70.63568142	140.54855	2150.594	2154.719748	1
399300.SZ	沪深300	2014/6/16	2176.44	2196.34	2174.28	2191.86	56904.3	6329687600	2.152988357	72.8789442	78.53420982	210.3792672	2154.134	2161.472521	1
399300.SZ	沪深300	2014/6/17	2185.68	2185.68	2168.45	2169.67	46244.98	4993366400	2.794554296	55.06937468	73.48128865	108.4819773	2156.109	2162.962972	-1
399300.SZ	沪深300	2014/6/18	2169.25	2172.55	2158.5	2160.24	42538.1	4946389600	2.513108188	48.96710477	65.6910452	44.09930089	2159.306	2162.467886	-1
